,name,phone,zipcode,Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
45,"5650 Shoup Ave., Woodland Hills, CA 91367", 323-731-2075,91367,91367,39499,41.0,19171,20328,16697,2.35
46,"803 Spence Street, Los Angeles, CA 90023", (213) 228-7037,90023,90023,45903,28.4,23037,22866,10727,4.26
47,"1719 S. Robertson Blvd., Los Angeles, CA 90035", (213) 228-7037,90035,90035,28418,37.5,13326,15092,12814,2.19
48,"8846 W. Pico Blvd., Los Angeles, CA 90035", (213) 228-7113,90035,90035,28418,37.5,13326,15092,12814,2.19
49,"501 S. Venice Blvd., Venice, CA 90291", (213) 228-7037,90291,90291,28341,37.6,14757,13584,14261,1.95
50,"1761 Washington Way, Venice, CA 90291", 310-821-6116,90291,90291,28341,37.6,14757,13584,14261,1.95
51,"1761 Washington Way, Venice, CA 90291", 310-821-6116,90291,90291,28341,37.6,14757,13584,14261,1.95
52,"204 Hampton Drive, Venice, CA 90291", 213-878-9009,90291,90291,28341,37.6,14757,13584,14261,1.95
53,"404 Lincoln Blvd., Venice, CA 90291", 323-378-3225,90291,90291,28341,37.6,14757,13584,14261,1.95
54,"211 3rd Avenue, Venice, CA 90291", 818-779-8000,90291,90291,28341,37.6,14757,13584,14261,1.95
55,"2469 Lincoln Blvd., Venice, CA 90291", (310) 392-8636,90291,90291,28341,37.6,14757,13584,14261,1.95
56,"622 Rose Avenue, Venice, CA 90291", (310) 392-8636,90291,90291,28341,37.6,14757,13584,14261,1.95
57,"604 Rose Ave., Venice, CA 90291", (213) 529-0926,90291,90291,28341,37.6,14757,13584,14261,1.95
58,"905 Venice Blvd., Venice, CA 90291", 323-231-1711,90291,90291,28341,37.6,14757,13584,14261,1.95
59,"4117 W. Washington Blvd., Los Angeles, CA 90018", (213) 228-7037,90018,90018,49310,33.2,23770,25540,15493,3.12
60,"3701 Cherrywood Ave., Los Angeles, CA 90018", 213-977-2420,90018,90018,49310,33.2,23770,25540,15493,3.12
61,"2116 Arlington Ave., Suite 100 , Administrative Headquarters, Los Angeles, CA 90018", 213-253-2677 or 877-424-3838,90018,90018,49310,33.2,23770,25540,15493,3.12
62,"10205 Compton Ave., Los Angeles, CA 90002", (213) 228-7037,90002,90002,51223,25.5,24876,26347,11731,4.36
63,"10300 Compton Ave, Los Angeles, CA 90002", 310-309-6000,90002,90002,51223,25.5,24876,26347,11731,4.36
64,"1300 N. Avalon Blvd., Wilmington, CA 90744", (213) 228-7037,90744,90744,53815,28.7,27298,26517,13999,3.83
65,"1301 N. Figueroa Place, Wilmington, CA 90744", (323) 469-9002,90744,90744,53815,28.7,27298,26517,13999,3.83
66,"1300 N. Avalon Boulevard, Wilmington, CA 90744", 323-539-2000,90744,90744,53815,28.7,27298,26517,13999,3.83
67,"38510 Sierra Hwy, Palmdale, CA 93550", 661-265-7421,93550,93550,74929,27.5,36414,38515,20864,3.58
68,"357 South Westlake Avenue , Los Angeles, CA 90057", 213-318-5730,90057,90057,44998,31.2,24300,20698,15658,2.81
69,"123 South Alvarado Street, Los Angeles, CA 90057", 213-989-7700,90057,90057,44998,31.2,24300,20698,15658,2.81
70,"2330 Beverly Boulevard, Los Angeles, CA 90057", 213-617-8404,90057,90057,44998,31.2,24300,20698,15658,2.81
71,"310 Winston St., Los Angeles, CA 90013", 213-629-1227 x317,90013,90013,11772,44.6,7629,4143,6416,1.26
72,"522 South Main Street, Los Angeles, CA 90013", 818-794-4200,90013,90013,11772,44.6,7629,4143,6416,1.26
73,"442 S San Pedro Street, Los Angeles, CA 90013", 213-353-3982,90013,90013,11772,44.6,7629,4143,6416,1.26
74,"530 E. Fifth St., Los Angeles, CA 90013", 323-254-0191,90013,90013,11772,44.6,7629,4143,6416,1.26
75,"445 Towne Ave., Los Angeles, CA 90013", 323-293-9778,90013,90013,11772,44.6,7629,4143,6416,1.26
76,"512 E. 4th St., Los Angeles, CA 90013", 323-948-0444,90013,90013,11772,44.6,7629,4143,6416,1.26
77,"303 East 5th Street, Los Angeles, CA 90013", 323-400-8534,90013,90013,11772,44.6,7629,4143,6416,1.26
78,"311 Winston St., Los Angeles, CA 90013", 323-993-7669,90013,90013,11772,44.6,7629,4143,6416,1.26
79,"529 Maple Ave, Los Angeles, CA 90013", 323-234-3030,90013,90013,11772,44.6,7629,4143,6416,1.26
80,"540 South San Pedro Street, Los Angeles, CA 90013", 213-228-7390,90013,90013,11772,44.6,7629,4143,6416,1.26
81,"425 S. Broadway , Los Angeles, CA 90013", 323-254-2519,90013,90013,11772,44.6,7629,4143,6416,1.26
82,"544 Towne Avenue, Los Angeles, CA 90013", 323-256-3041,90013,90013,11772,44.6,7629,4143,6416,1.26
83,"231 Winston St., Los Angeles, CA 90013", 310-399-6878,90013,90013,11772,44.6,7629,4143,6416,1.26
84,"540 San Pedro Street, Los Angeles, CA 90013", 800-399-4529,90013,90013,11772,44.6,7629,4143,6416,1.26
85,"507 Towne Avenue, Los Angeles, CA 90013", 213-347-6300,90013,90013,11772,44.6,7629,4143,6416,1.26
86,"545 S. San Pedro St., Los Angeles, CA 90013",  (310) 392-8636,90013,90013,11772,44.6,7629,4143,6416,1.26
87,"522 S San Pedro St, Los Angeles, CA 90013", 310-392-4103,90013,90013,11772,44.6,7629,4143,6416,1.26
88,"1851 Tyburn Street, Glendale, CA 91204", 818-246-7900 (Access Center),91204,91204,16032,38.1,7699,8333,5639,2.76
89,"3250 Wilshire Blvd., 13th Floor, Los Angeles, CA 90010", 323-939-0506,90010,90010,3800,37.8,1874,1926,2014,1.87
90,"3424 Wilshire Blvd., Suite 1000, Los Angeles, CA 90010", (818) 701-9800,90010,90010,3800,37.8,1874,1926,2014,1.87
91,"6657 Sunset Blvd., Los Angeles, CA 90028", 323-462-6311,90028,90028,28714,34.0,16056,12658,14964,1.78
92,"5669 W. De Longpre Avenue, Hollywood, CA 90028", 818-255-3127,90028,90028,28714,34.0,16056,12658,14964,1.78
93,"1625 N. Schrader Blvd., Los Angeles, CA 90028", 213-537-0105,90028,90028,28714,34.0,16056,12658,14964,1.78
94,"6043 Hollywood Blvd., Los Angeles, CA 90028", (213) 228-7037,90028,90028,28714,34.0,16056,12658,14964,1.78
95,"5939 Hollywood Blvd., Los Angeles, CA 90028", 800-772-1213,90028,90028,28714,34.0,16056,12658,14964,1.78
96,"6636 Selma Ave, Hollywood, CA 90028", 626-791-6610,90028,90028,28714,34.0,16056,12658,14964,1.78
97,"1505 East 1st Street, Los Angeles, CA 90033", (323) 267-5930,90033,90033,48852,29.2,24425,24427,12924,3.66
98,"2032 Marengo Street, Los Angeles, CA 90033", 213-365-1906,90033,90033,48852,29.2,24425,24427,12924,3.66
99,"171 South Gless Street, Los Angeles, CA 90033", 323-604-9985,90033,90033,48852,29.2,24425,24427,12924,3.66
100,"135 North Mission Road, Los Angeles, CA 90033", (310) 732-5700,90033,90033,48852,29.2,24425,24427,12924,3.66
101,"1208 Pleasant Avenue, Los Angeles, CA 90033", 818-255-2766,90033,90033,48852,29.2,24425,24427,12924,3.66
102,"1625 E. 4th St., Los Angeles, CA 90033", 323-993-7400,90033,90033,48852,29.2,24425,24427,12924,3.66
103,"2200 E. 1st Street, Los Angeles, CA 90033", 213-228-7390,90033,90033,48852,29.2,24425,24427,12924,3.66
104,"1401 S. Grand Ave., Los Angeles, CA 90015", 213-441-1451,90015,90015,18986,31.3,9833,9153,7420,2.45
105,"1513 S Grand Ave, Suite 400, Los Angeles, CA 90015", 213-421-3187,90015,90015,18986,31.3,9833,9153,7420,2.45
106,"121 E. Pico Blvd, Los Angeles, CA 90015", (310) 663-1103,90015,90015,18986,31.3,9833,9153,7420,2.45
107,"1400 S Grand Avenue, Suite 101, Los Angeles, CA 90015", 213-747-5542,90015,90015,18986,31.3,9833,9153,7420,2.45
108,"1500-1530 S. Olive Street, Los Angeles, CA 90015", 424-338-8000,90015,90015,18986,31.3,9833,9153,7420,2.45
109,"1513 S. Grand Avenue, Suite 220 & 250, Los Angeles, CA 90015", 323-761-6415 or 323-201-2142,90015,90015,18986,31.3,9833,9153,7420,2.45
110,"1835 S. Hope St., Los Angeles, CA 90015", 213-893-1960,90015,90015,18986,31.3,9833,9153,7420,2.45
111,"1835 S. Hope St., Los Angeles, CA 90015", 213-924-5636,90015,90015,18986,31.3,9833,9153,7420,2.45
112,"400 West Washington Boulevard, LATTC - Redwood Hall, Los Angeles, CA 90015", (323) 249-7751,90015,90015,18986,31.3,9833,9153,7420,2.45
113,"3615 S. Hope Street, Los Angeles, CA 90007", 800-777-0133,90007,90007,40920,24.0,20915,20005,11944,3.0
114,"3006 S. Vermont Ave. 113, Los Angeles, CA 90007", 213-626-4681,90007,90007,40920,24.0,20915,20005,11944,3.0
115,"12900 Vaughn Street, San Fernando, CA 91340", 818-470-1480,91340,91340,34188,30.1,17130,17058,8176,4.17
116,"622 N. Maclay Ave., San Fernando, CA 91340", 818-882-3474,91340,91340,34188,30.1,17130,17058,8176,4.17
117,"21010 Vanowen Street, Canoga Park, CA 91303", (818) 596-4448,91303,91303,26855,31.1,13907,12948,8697,3.08
118,"22103 Vanowen Street, Canoga Park, CA 91303", (818) 403-6432,91303,91303,26855,31.1,13907,12948,8697,3.08
119,"21600 Hart Street, Canoga Park, CA 91303", 323-881-0032,91303,91303,26855,31.1,13907,12948,8697,3.08
120,"9207 Eton Avenue, Chatsworth, CA 91311", 323-361-2153,91311,91311,36557,42.7,17838,18719,13425,2.66
121,"20440 Lassen Street, Chatsworth, CA 91311",  626-915-1981,91311,91311,36557,42.7,17838,18719,13425,2.66
122,"5000 Sunset Boulevard, 4th floor, Los Angeles, CA 90027", 213-806-6300,90027,90027,45151,38.3,22362,22789,21929,1.99
123,"1325 N. Western Avenue, Los Angeles, CA 90027", (310) 392-5855,90027,90027,45151,38.3,22362,22789,21929,1.99
124,"1853 Lincoln Blvd., Santa Monica, CA 90404", 323-730-4471,90404,90404,21360,37.4,10292,11068,10089,2.01
125,"1619 Santa Monica Blvd., Santa Monica, CA 90404", (323) 223-2021,90404,90404,21360,37.4,10292,11068,10089,2.01
126,"630 W. Fifth Street, Los Angeles, CA 90071", 310-534-4040,90071,90071,15,45.5,13,2,0,0.0
127,"630 W. Fifth Street, Business & Economics Department—Lower Level 1, Los Angeles, CA 90071", 323-260-8035,90071,90071,15,45.5,13,2,0,0.0
128,"630 W. Fifth Street, International Languages Department—Level 1, Los Angeles, CA 90071", 323-291-0035,90071,90071,15,45.5,13,2,0,0.0
129,"630 W. 5th Street, Los Angeles, CA 90071", 213-747-5347,90071,90071,15,45.5,13,2,0,0.0
130,"25520 Woodward Ave., Lomita, CA 90717", 323-461-3131,90717,90717,21318,39.5,10317,11001,8520,2.48
131,"1739 Lomita Blvd., Lomita, CA 90717", 818-322-9078,90717,90717,21318,39.5,10317,11001,8520,2.48
132,"2055 North Figueroa Street, Los Angeles, CA 90065", (213) 747-2064,90065,90065,45527,36.1,22873,22654,14476,3.12
133,"11841 Sherman Way, North Hollywood, CA 91605", 818-650-7750,91605,91605,56343,31.9,28417,27926,15357,3.61
134,"7843 Lankershim Blvd., North Hollywood, CA 91605", 213-225-6581,91605,91605,56343,31.9,28417,27926,15357,3.61
135,"7400 Tujunga Ave., North Hollywood, CA 91605", 213-228-7390,91605,91605,56343,31.9,28417,27926,15357,3.61
136,"6801 Coldwater Canyon Avenue   , North Hollywood, CA 91605", 310-392-8636,91605,91605,56343,31.9,28417,27926,15357,3.61
137,"8250 Balboa Place, Van Nuys, CA 91406", 213-483-0136,91406,91406,51558,33.6,25956,25602,17042,3.02
138,"16439 Vanowen Street, Van Nuys, CA 91406", 310-288-0286,91406,91406,51558,33.6,25956,25602,17042,3.02
139,"16360 Roscoe Blvd., Van Nuys, CA 91406", 213-229-9971,91406,91406,51558,33.6,25956,25602,17042,3.02
140,"1675 Wilshire Blvd., Los Angeles, CA 90017", 888-807-7250,90017,90017,23768,29.4,12818,10950,9338,2.53
141,"1055 Wilshire Blvd., Suite 900A, Los Angeles, CA 90017", 213-273-7000,90017,90017,23768,29.4,12818,10950,9338,2.53
142,"1225 Wilshire Blvd., Los Angeles, CA 90017", 323-758-5433 or 855-968-8452,90017,90017,23768,29.4,12818,10950,9338,2.53
143,"811 Wilshire Blvd 600, Los Angeles, CA 90017", 424-375-9702,90017,90017,23768,29.4,12818,10950,9338,2.53
144,"888 S. Figueroa Street, Los Angeles, CA 90017", 213-624-9258,90017,90017,23768,29.4,12818,10950,9338,2.53
145,"611 W 6th St, 6th Floor Suite 650, Los Angeles, CA 90017", 310-396-6468,90017,90017,23768,29.4,12818,10950,9338,2.53
146,"4760 S. Sepulveda Blvd., Culver City, CA 90230", 213-680-0600,90230,90230,31766,39.1,14932,16834,12883,2.45
147,"6666 Green Valley Circle, Culver City, CA 90230", (323) 563-4702,90230,90230,31766,39.1,14932,16834,12883,2.45
148,"4700 Inglewood Blvd. 102, Los Angeles, CA 90230", 213-763-5951,90230,90230,31766,39.1,14932,16834,12883,2.45
149,"4700 Inglewood Blvd. 101, Culver City, CA 90230", 323-223-1211,90230,90230,31766,39.1,14932,16834,12883,2.45
150,"4401 Elenda Street, Culver City, CA 90230", 213-500-6013,90230,90230,31766,39.1,14932,16834,12883,2.45
151,"11080 W. Olympic Blvd., Los Angeles, CA 90064", 213-744-0801,90064,90064,25403,40.0,12297,13106,10968,2.29
152,"1680 E. 120th Street, Los Angeles, CA 90059", 213-747-5542,90059,90059,40952,25.7,19623,21329,9596,4.19
153,"10950 South Central Avenue, Los Angeles, CA 90059", (818) 504-0334,90059,90059,40952,25.7,19623,21329,9596,4.19
154,"10950 S. Central Ave., Los Angeles, CA 90059", 818-346-5554,90059,90059,40952,25.7,19623,21329,9596,4.19
155,"958 E 108th Street, Los Angeles, CA 90059", (323) 734-1566,90059,90059,40952,25.7,19623,21329,9596,4.19
156,"2220 East 114th Street, Los Angeles, CA 90059", 310-450-2191,90059,90059,40952,25.7,19623,21329,9596,4.19
157,"5414 N Figueroa Street, Los Angeles, CA 90042", 626-569-0991,90042,90042,62430,33.6,30836,31594,19892,3.11
158,"840 N. Ave 66, Los Angeles, CA 90042", (323) 454-6100,90042,90042,62430,33.6,30836,31594,19892,3.11
159,"5538 York Blvd., Los Angeles, CA 90042", 310-508-9214,90042,90042,62430,33.6,30836,31594,19892,3.11
160,"6400 York Blvd., Los Angeles, CA 90042", 800-399-4529,90042,90042,62430,33.6,30836,31594,19892,3.11
161,"5619 Monte Vista Street (Parish Hall behind All Saints Episcopal Church), Los Angeles, CA 90042", (213) 213-0100,90042,90042,62430,33.6,30836,31594,19892,3.11
162,"322 N. Ave 61, Los Angeles, CA 90042", 213-438-0188,90042,90042,62430,33.6,30836,31594,19892,3.11
163,"1005 East Las Tunas Drive 525, Los Angeles, CA 91776", 818-884-7587,91776,91776,38475,39.0,18751,19724,11776,3.24
164,"2814 W. Martin Luther King Blvd., Los Angeles, CA 90008", 213-235-1460 (shelter),90008,90008,32327,39.7,14477,17850,13841,2.33
165,"3761 Stocker Street, Los Angeles, CA 90008", 818-988-7682,90008,90008,32327,39.7,14477,17850,13841,2.33
166,"222 West 6th Street, Suite 410, San Pedro, CA 90731", 310-831-9123,90731,90731,59662,35.6,29951,29711,22044,2.62
167,"670 W. 9th Street, San Pedro, CA 90731", 323-257-9600,90731,90731,59662,35.6,29951,29711,22044,2.62
168,"1000 W. 1st Street 150, San Pedro, CA 90731", 818-731-1910,90731,90731,59662,35.6,29951,29711,22044,2.62
169,"112 S. Pacific Ave., San Pedro, CA 90731", 818-731-1910,90731,90731,59662,35.6,29951,29711,22044,2.62
170,"936 S. Centre Street, San Pedro, CA 90731", 818-755-8786 or 888-683-5084,90731,90731,59662,35.6,29951,29711,22044,2.62
171,"5849 Crocker Street, Los Angeles, CA 90003", (310) 337-7417,90003,90003,66266,26.3,32631,33635,15642,4.22
172,"8770 South Broadway, Los Angeles, CA 90003", 213-401-4651,90003,90003,66266,26.3,32631,33635,15642,4.22
173,"7000 S. Broadway, Los Angeles, CA 90003", 818-701-8200 or 626-569-1399,90003,90003,66266,26.3,32631,33635,15642,4.22
174,"5849 Crocker Street, Unit X, Los Angeles, CA 90003", 310-392-8701,90003,90003,66266,26.3,32631,33635,15642,4.22
175,"8770 S Broadway, Los Angeles, CA 90003", 866-733-5924 or 562-867-7999,90003,90003,66266,26.3,32631,33635,15642,4.22
176,"8939 S. Sepulveda Boulevard, Suite 460, Los Angeles, CA 90045", (818) 392-0020,90045,90045,39480,35.6,18958,20522,15224,2.37
177,"1309 East Seventh Street, Los Angeles, CA 90021", 323-299-9496,90021,90021,3951,44.3,2790,1161,1561,1.57
178,"1244 E. 7th Street, Los Angeles, CA 90021", 213-228-7390,90021,90021,3951,44.3,2790,1161,1561,1.57
179,"501 E 6th Street, Los Angeles, CA 90021", (213) 365-9829,90021,90021,3951,44.3,2790,1161,1561,1.57
180,"3750 West 6th Street, Los Angeles, CA 90020", (213) 629-1227 ext. 400,90020,90020,38967,34.6,19381,19586,16514,2.35
181,"6816 De Soto Ave., Canoga Park, CA 91304", (818) 302-5216,91304,91304,50231,35.9,24827,25404,16532,3.0
182,"21001 Sherman Way, Canoga Park, CA 91304", 818-322-9078,91304,91304,50231,35.9,24827,25404,16532,3.0
183,"20907 Roscoe Blvd., Canoga Park, CA 91304", 310-899-6200 or 800-399-4529,91304,91304,50231,35.9,24827,25404,16532,3.0
184,"8724 Corbin Ave., Northridge, CA 91324", 305-587-1073,91324,91324,27669,36.5,13545,14124,9289,2.95
185,"6659 Foothill Blvd., Tujunga, CA 91042", 818-731-1910,91042,91042,27585,40.7,13734,13851,9987,2.74
186,"6614 S. Western Ave, Los Angeles, CA 90047", 213-893-1960,90047,90047,48606,36.2,22129,26477,16168,2.99
187,"8124 S. Western Ave., Los Angeles, CA 90047", 818-341-1629,90047,90047,48606,36.2,22129,26477,16168,2.99
188,"1512 West Slauson Avenue, Los Angeles, CA 90047", 310-394-6889,90047,90047,48606,36.2,22129,26477,16168,2.99
189,"200 N. Main St., Los Angeles, CA 90012", 213-430-6700,90012,90012,31103,36.3,19493,11610,10327,2.12
190,"241 N. Figueroa Street, Los Angeles, CA 90012", 818-901-9480,90012,90012,31103,36.3,19493,11610,10327,2.12
191,"535 N. Main Street, Los Angeles, CA 90012", (818) 755-8786,90012,90012,31103,36.3,19493,11610,10327,2.12
192,"111 N. Hill St., 2nd Floor, Room 245, Los Angeles, CA 90012", 310-392-8636,90012,90012,31103,36.3,19493,11610,10327,2.12
193,"351 E. Temple St., Los Angeles, CA 90012", (310) 392-8636,90012,90012,31103,36.3,19493,11610,10327,2.12
194,"1640 5th St 124, Santa Monica, CA 90401", 213-240-8204,90401,90401,6722,37.8,3524,3198,4188,1.49
195,"1328 Second Street, Santa Monica, CA 90401", 310-450-4050,90401,90401,6722,37.8,3524,3198,4188,1.49
196,"503 Olympic Blvd., Santa Monica, CA 90401", 818-894-9316,90401,90401,6722,37.8,3524,3198,4188,1.49
197,"503 Olympic Blvd., Santa Monica, CA 90401", (323) 563-4721,90401,90401,6722,37.8,3524,3198,4188,1.49
198,"9188 Glenoaks Blvd., Sun Valley, CA 91352", 818-989-3800,91352,91352,47807,32.1,23980,23827,11985,3.95
199,"9024 Laurel Canyon Blvd., Sun Valley, CA 91352", 310-450-4050,91352,91352,47807,32.1,23980,23827,11985,3.95
200,"1220 N. Highland Ave., Los Angeles, CA 90038", 213-537-0105,90038,90038,28917,33.1,15383,13534,11928,2.41
201,"1734 East 41st Street, Los Angeles, CA 90058", 213-228-7390,90058,90058,3223,26.0,1555,1668,892,3.6
202,"6901 Lennox Ave., Van Nuys, CA 91405", 213-228-7390,91405,91405,51145,32.6,25498,25647,16256,3.11
203,"14424 Sherman Way , Van Nuys, CA 91405", 310-458-7779,91405,91405,51145,32.6,25498,25647,16256,3.11
204,"601 S. San Pedro Street, Los Angeles, CA 90014", 213-228-7390,90014,90014,7005,44.8,4471,2534,4109,1.34
205,"17114 Ventura Blvd., Encino, CA 91316", 818-482-1754,91316,91316,26898,42.1,12717,14181,11911,2.26
206,"11031 Camarillo Street, North Hollywood, CA 91602", 323-644-2200,91602,91602,17473,38.0,8722,8751,9277,1.88
207,"4390 Colfax Ave., Studio City, CA 91604", 323-255-6806,91604,91604,29034,40.2,14271,14763,14292,2.01
208,"8520 Winnetka Avenue, Winnetka, CA 91306", (818) 838-1352 (CalWORKs),91306,91306,45061,35.4,22679,22382,13635,3.28
209,"340 N. Madison Ave., Los Angeles, CA 90004", (310) 305-8878,90004,90004,62180,34.8,31302,30878,22547,2.73
210,"8756 Canby Ave., Northridge, CA 91325", (323) 432-4399,91325,91325,32417,35.4,15819,16598,11825,2.72
211,"P.O. Box 431038, Los Angeles, CA 90043", (323) 730-7900,90043,90043,44789,38.7,20561,24228,16075,2.76
212,"5344 Crenshaw Blvd., Los Angeles, CA 90043", 323-293-6284,90043,90043,44789,38.7,20561,24228,16075,2.76
213,"6736 Laurel Canyon Blvd., Suite 200, North Hollywood, CA 91606", 310-392-8636,91606,91606,44958,34.3,22376,22582,14903,3.0
214,"412 S. Raymond Avenue, Pasadena, CA 91105", (310) 392-8636,91105,91105,11254,49.0,5432,5822,5213,2.07
215,"1104 Washington Ave., Santa Monica, CA 90403", (310) 392-8636,90403,90403,24525,40.8,11426,13099,13970,1.74
216,"601 Pico Blvd., Santa Monica, CA, CA 90405", 323-564-4331,90405,90405,27186,40.8,13364,13822,14376,1.87
217,"2509 Pico Blvd., Santa Monica, CA 90405", (323) 563-5639,90405,90405,27186,40.8,13364,13822,14376,1.87
218,"303 E. 52nd Street, Los Angeles, CA 90011", 213-746-2227,90011,90011,103892,26.2,52794,51098,22168,4.67
